,Delta_C1,Delta_C2,Delta_C3,Delta_C4
164,80328.8386482831,229037.13740590573,384747.0614054482,330550.008984683
165,48086.58324256237,196127.1454806405,199196.2993148825,189907.8822098573
166,49936.736747738985,202347.6847321416,202165.88425384025,209627.37666365612
167,53221.571022622025,204761.18644684023,211302.24224148717,212713.9568718469
168,55970.43126040355,210520.1056617858,213828.40195842017,207579.61929467175
169,79889.7902527568,284107.71294671315,307130.889887643,301360.1449191112
170,81463.93593092193,292258.4432017335,291203.3891450236,296292.1920881631
171,86269.3705730519,297766.2619763644,302806.7828287615,297141.44148234365
172,65975.2046985894,232949.67419755564,226634.04694271527,225389.6478200509
173,70583.51765627661,234622.35031964356,241624.25351185707,238047.1696578148
174,75106.32786430934,238027.3170301608,249989.31847752427,238775.80159052348
175,101166.32115041991,329047.4476697007,332014.08861360827,331761.1919855881
176,105628.65901640062,335444.0830355872,342518.5023354153,347110.62248521583
177,107531.61357785504,347603.977725561,348107.738794471,338802.4034384037
178,112286.13474420988,354771.808748865,305442.82775073056,358032.12499062903
179,123737.2523524545,348455.7048180969,329828.5108934308,344103.388087675
180,110885.92850197776,386663.3840972106,282517.57914017007,301720.7011854293
181,139944.4853351279,352556.83039598697,379307.9948415874,363379.0854729121
182,146774.0354884218,357124.9861714496,388796.53409507824,379711.34653349785
183,107076.65924885737,284553.2661624095,280678.69012167497,285513.36550558865
184,146734.25594686382,387624.0629548494,381980.3301054195,390272.3915723972
185,151697.09583537682,396435.21228448575,403683.6644786141,421997.35296357377
186,113859.53922272207,308788.1584132206,297967.8472990105,306454.4074791733
187,119162.4545588636,314375.2414471129,312648.5388596881,319885.34232082084
188,95272.6612267189,260591.2690306721,243895.5804278387,247314.1968351816
189,172968.8332719637,435565.0826082105,442199.9724096189,432017.1243329273
190,136228.8879278583,330771.73763624293,355696.4152199811,355025.3058388513
191,184126.38640964383,462667.5324848266,477847.0655821919,488827.0841939808
192,150965.33569407853,338773.7107148498,458678.5480109741,390353.7372458801
193,206666.56540567943,449662.5088744119,434980.40027030505,461351.9815165426
194,203356.2201256808,470476.4287868466,454005.4009793535,459352.8323079364
195,158752.93452902252,356727.1522840436,382087.77198443376,359927.7364495092
196,216516.15076530832,489707.6441538247,513557.2666777053,499155.0768627453
198,227446.82254309035,513260.9129890646,553369.8737832337,566915.9997523029
199,167983.70347060252,399456.39542764006,409298.2549048958,427263.2543065567
200,232335.0794954275,537702.2992786685,551396.9737062396,563198.101427442
201,235269.4214591416,550400.9532370245,566555.0762217735,549353.4845311325
202,241791.8728403084,560958.6242186888,569099.0110619925,561266.50590898
203,187331.93658792548,425748.8163005599,426412.9255311402,423336.4021200261
204,254615.6658539833,579896.066661782,586193.2876763754,579815.1486031859
205,196403.04345853603,441879.4731339991,442580.2464922192,440987.03714742855
206,268684.4215882293,600643.9600020202,600301.3160405918,596868.9493036593
207,209756.8174045356,452030.1637520724,459974.7803246468,460073.3098638468
209,15501.900809837847,17201.27267646213,18500.27908395549,18676.306428225333
210,13798.751930290337,18609.699000756027,18940.84136202248,18648.786561610614
211,14133.861910422023,22801.960308053094,17217.50430488769,17206.975365655824
212,13559.367075783888,25840.33480881873,18967.237766775008,18904.073243670027
213,12005.390284789792,27499.8818221049,25355.35661110104,26022.37155766768
214,10134.475418253836,25569.838404329053,15062.875410243978,15901.427760086604
215,7628.354612677222,28576.973728615907,30838.75955645353,31607.088025540463
216,6568.216349772885,30483.647281489422,29370.697158500523,28992.01375619925
217,5070.718197990489,31443.18611528733,35384.76594341941,35260.42380115163
218,4603.092654547276,34918.97005741556,34920.12990296585,34761.66767333944
219,3868.6856549705617,37737.4583335876,37456.27835497566,38251.45833018016
220,3137.421686631976,40262.80266783581,42353.49365190299,41951.85218767807
221,2323.434865874439,42137.30720674744,43956.00266916746,44244.04671299119
222,10854.699270215482,32071.368149153965,118681.55936051883,151988.93631937428
223,2611.356424903048,52697.58108648752,59485.67639643482,64525.54335313109
224,1629.3496647136535,50630.96362204373,44354.51094639963,50220.90240787937
225,334.99178268242866,49989.086928420926,50577.26571678731,53774.77979164615
226,187.1612300261093,51878.33369613699,50027.72242126203,51524.30705398794
227,145.23332789564188,59977.38738158559,61003.279849212944,59332.17314738564
228,73.87885332778387,48112.77393652557,48478.6338082572,45581.07150291435
229,20.784508089468005,66585.7466958344,68142.4489385591,65363.51027640188
230,69.75013925210064,69553.72961966894,69836.48231440081,69954.5445517837
231,214.7881809647204,73385.14780456432,78111.16703975266,73708.0659089805
232,458.9770503558181,76500.45068757079,79674.99504455055,74371.27704788069
233,1707.4715136771813,78579.6044463115,81587.68998176251,84032.43683959634
234,2876.7237957203324,78770.23524997826,81258.1572100936,83125.02034642358
235,19285.383420004047,63582.789525487766,131514.7275586218,145107.3422524716
236,78629.11935636471,34027.407351915565,309793.6636331575,361057.7448518031
237,4488.615981308552,89221.5326795251,92940.96315020569,89591.6420510027
238,4296.867564807985,95610.3213876414,98665.38661721253,95478.30550386407
239,6841.261304638587,93527.88812483932,91264.11536254022,92631.28710442162
240,7533.915436568735,98251.54483227112,92706.77812763736,89226.43754075875
241,5943.711499949565,113872.69447513403,111423.01125012494,110804.3786702168
242,9502.959142508997,108507.84551947052,106978.69857368089,106718.2698181165
243,8936.54287315372,119463.5350641358,111993.94600887167,115850.82628594185
244,8932.957204879194,128528.48458629992,131599.00737614115,125318.02407182204
245,14863.870142614358,115829.91582997808,108082.63657866212,116506.00043519514
246,13318.049681304065,129310.50582886944,121518.9979599624,130524.032365822
247,18555.994987415048,123063.7158186295,118636.93555177284,126412.28946690592
248,17465.7985021809,133499.15816327144,138110.24982575802,135851.36931562054
249,20151.15781424625,137068.83872922196,137787.91287120228,136339.43800684667
250,20502.02976271749,144348.72319183356,141220.1493661443,145523.58529697536
251,23428.28115077537,146317.29348685563,140607.07110201704,149159.76259399112
252,24693.135201926496,152572.47477964597,157011.8609073216,150782.31371245463
253,27031.695294091427,156301.56273938713,171817.84034701917,157271.54724501978
254,28750.911708763306,161781.81194209628,168743.1693680542,159584.47206712404
255,28549.296486799743,194413.696791974,160631.7801777954,156581.6362359339
256,25127.547500003235,128757.2297837117,127708.6406523573,125907.35997117493
257,36905.60809460628,175442.89400804733,171742.1192732469,174884.95979209486
258,39072.87666432664,181080.8988372599,176077.14969282807,186186.3085194614
259,41468.72652058275,188004.75342347048,192630.56341974475,191035.0338083732
260,30494.80673694559,172720.49305550096,137595.8903506598,143726.97959972004
261,55895.67557789684,183263.84959609475,208565.9320858087,235637.22696274664
262,56205.76174817649,193662.5173606431,226128.16414488843,231449.9236423319
263,49163.434336894425,168395.44518596685,162241.7551072959,178573.7422996662
265,90614.07926707497,277997.9381666317,466114.8755956957,707946.8186340411
266,88658.12310541378,223331.8907070855,324911.88060315384,411107.7170974686
267,197623.65676258696,313794.1235405653,174706.22331454992,192108.00296105605
268,89373.40638454346,239653.65748135268,285530.1973071647,320581.55810654594
269,55722.65475703319,486291.8708958325,164884.8223093688,147396.40682037344
270,70386.77086277735,259547.43400999665,255688.46363048084,250769.06332041445
271,76695.1171825453,260920.92455149,253646.6124375569,258686.56481273423
272,82495.02663494843,263676.4397102536,268296.2623441862,270847.23136319546
273,77976.37909541294,288635.2735602554,260688.0839840335,249833.64985132476
274,89960.09162424521,305682.0351564167,398320.2599702015,489519.0222347266
276,98448.2527988414,335553.41574374173,265720.0870737564,289529.5020367948
278,136364.39588227996,273703.81728612224,377296.0946331917,398071.8913999412
279,76816.45074642402,247961.15838347215,258675.94672167845,258126.3627697939
280,107116.21994884811,333776.310275986,332125.6999382321,325616.7369512222
281,108121.77783298003,344024.0373710597,376278.1179402788,386958.20687173685
282,122455.60639253267,334208.8772090639,353144.71807226393,355250.1320650003
283,87884.11003482818,269134.41480938264,265263.74521074555,262454.11467415444
284,122465.77191478144,365409.4447484852,365471.4264387784,371597.2402851884
285,117454.99157820133,388000.5931898723,370052.3428743625,367356.2246981291
286,101385.84752289564,281890.606642959,287481.31983268535,296209.21982325386
287,137555.98069888764,385413.2819689387,378012.0081039058,381362.3988492294
288,112800.795278388,285393.0405236117,293138.110747705,304229.5559371814
289,148691.90020800353,399088.7428519168,404519.9219932296,417329.4993910652
290,114772.22107454464,305906.0652052117,308241.3947550308,313890.40118266694
291,155105.3239175638,419270.3775050885,416710.0060031851,410793.0203724268
292,120085.43746164304,321519.662637577,323719.0898328739,324153.82972420764
293,162780.69082205626,439925.6047736139,438753.1717025325,440818.3057869023
294,186567.1176041026,423102.4341272308,427319.7325062474,436096.1509059788
295,129930.3519756559,345690.58440958284,336119.26061984646,332006.94574571296
296,179553.89234872197,465616.9414894169,468929.4116923575,470677.03307654185
297,205142.7857453987,450258.91315204906,493919.3571270094,515134.8066108192
298,184798.9731501575,506538.5605153029,458806.63819530536,455357.7203222127
300,188530.0289812602,532623.0181134563,490061.8459691626,482858.42170713295
301,214666.84301053776,497911.318384008,502180.6628427464,498858.1803440927
302,231313.85148584272,502750.29647300846,553362.0628259183,583274.8433388019
303,229394.3716185784,513649.00642773387,529880.4302325519,535530.6614292517
304,227647.85794324777,537380.2057342696,539091.3223282389,550624.0290790681
