Datetime,valueIBI
2024-10-10 14:44:39.365270,0.6562803
2024-10-10 14:44:40.021550,0.6562805
2024-10-10 14:44:40.693460,0.671906
2024-10-10 14:44:41.443490,0.7500348
2024-10-10 14:44:47.303140,0.7344089
2024-10-10 14:44:48.115680,0.8125377
2024-10-10 14:44:48.990720,0.8750405
2024-10-10 14:44:49.725130,0.7344091
2024-10-10 14:44:50.443910,0.7187831
2024-10-10 14:44:51.256450,0.8125377
2024-10-10 14:44:52.053360,0.796912
2024-10-10 14:44:52.850270,0.796912
2024-10-10 14:44:53.537800,0.6875317
2024-10-10 14:44:54.178460,0.6406548
2024-10-10 14:44:54.787860,0.6094031
2024-10-10 14:44:55.506640,0.7187833
2024-10-10 14:44:59.756840,0.8906662
2024-10-10 14:45:00.678760,0.9219177
2024-10-10 14:45:01.585050,0.9062919
2024-10-10 14:45:02.413210,0.8281634
2024-10-10 14:45:03.132000,0.7187833
2024-10-10 14:45:09.647920,0.8125377
2024-10-10 14:45:10.366710,0.7187831
2024-10-10 14:45:11.101120,0.7344091
2024-10-10 14:45:11.882400,0.7812862
2024-10-10 14:45:12.741820,0.8594148
2024-10-10 14:45:13.569980,0.8281634
2024-10-10 14:45:14.273140,0.7031574
2024-10-10 14:45:14.945050,0.6719062
2024-10-10 14:45:15.616950,0.671906
2024-10-10 14:45:16.366990,0.7500348
2024-10-10 14:45:17.179520,0.8125377
2024-10-10 14:45:17.960810,0.781286
2024-10-10 14:45:18.695220,0.7344091
2024-10-10 14:45:19.429630,0.7344091
2024-10-10 14:45:20.210910,0.7812862
2024-10-10 14:45:21.023450,0.8125374
2024-10-10 14:45:21.742230,0.7187833
2024-10-10 14:45:22.429770,0.6875319
2024-10-10 14:45:23.242300,0.8125374
2024-10-10 14:45:24.007960,0.7656605
2024-10-10 14:45:24.804880,0.796912
2024-10-10 14:45:25.523660,0.7187833
2024-10-10 14:45:26.195570,0.671906
2024-10-10 14:45:26.961230,0.7656605
2024-10-10 14:45:27.742510,0.7812862
2024-10-10 14:45:28.539420,0.7969117
2024-10-10 14:45:29.289460,0.7500348
2024-10-10 14:45:29.976990,0.6875319
2024-10-10 14:45:30.789530,0.8125374
2024-10-10 14:45:31.648940,0.8594148
2024-10-10 14:45:46.071490,0.6562805
2024-10-10 14:45:46.774640,0.7031577
2024-10-10 14:45:47.540300,0.7656602
2024-10-10 14:45:48.290340,0.7500348
2024-10-10 14:45:49.040370,0.7500348
2024-10-10 14:45:49.712280,0.671906
2024-10-10 14:45:50.462320,0.7500348
2024-10-10 14:45:51.259230,0.796912
2024-10-10 14:45:52.071760,0.8125374
2024-10-10 14:45:52.790550,0.7187833
2024-10-10 14:46:09.947590,0.7031577
2024-10-10 14:46:10.744500,0.796912
2024-10-10 14:46:11.525790,0.781286
2024-10-10 14:46:12.244570,0.7187833
2024-10-10 14:46:12.916480,0.6719062
2024-10-10 14:46:13.635260,0.7187831
2024-10-10 14:46:14.322800,0.6875319
2024-10-10 14:46:15.104080,0.7812862
2024-10-10 14:46:15.744740,0.6406546
2024-10-10 14:46:16.463520,0.7187833
2024-10-10 14:46:17.166680,0.7031574
2024-10-10 14:46:17.947960,0.7812862
2024-10-10 14:46:18.729250,0.7812862
2024-10-10 14:46:19.448030,0.7187831
2024-10-10 14:46:20.135560,0.6875319
2024-10-10 14:46:20.916850,0.7812862
2024-10-10 14:46:21.698140,0.781286
2024-10-10 14:46:22.448170,0.7500348
2024-10-10 14:46:23.073200,0.6250291
2024-10-10 14:46:23.838860,0.7656602
2024-10-10 14:46:24.417010,0.5781519
