Datetime,valueACC
2024-10-09 13:06:54.503820,"[33, -3, 53]"
2024-10-09 13:06:54.535070,"[33, -3, 54]"
2024-10-09 13:06:54.566320,"[33, -3, 54]"
2024-10-09 13:06:54.597580,"[32, -3, 53]"
2024-10-09 13:06:54.628830,"[33, -3, 53]"
2024-10-09 13:06:54.660080,"[33, -3, 54]"
2024-10-09 13:06:54.691330,"[33, -3, 53]"
2024-10-09 13:06:54.722580,"[32, -3, 54]"
2024-10-09 13:06:54.753830,"[32, -3, 54]"
2024-10-09 13:06:54.785080,"[33, -3, 54]"
2024-10-09 13:06:54.816340,"[33, -3, 53]"
2024-10-09 13:06:54.847590,"[32, -3, 54]"
2024-10-09 13:06:54.878840,"[33, -3, 54]"
2024-10-09 13:06:54.910090,"[32, -3, 54]"
2024-10-09 13:06:54.941340,"[33, -3, 54]"
2024-10-09 13:06:54.972590,"[33, -3, 53]"
2024-10-09 13:06:55.003840,"[33, -3, 54]"
2024-10-09 13:06:55.035100,"[33, -3, 53]"
2024-10-09 13:06:55.066350,"[33, -3, 53]"
2024-10-09 13:06:55.097600,"[33, -3, 54]"
2024-10-09 13:06:55.128850,"[32, -3, 53]"
2024-10-09 13:06:55.160100,"[32, -3, 54]"
2024-10-09 13:06:55.191350,"[33, -3, 54]"
2024-10-09 13:06:55.222600,"[32, -3, 53]"
2024-10-09 13:06:55.253860,"[32, -3, 54]"
2024-10-09 13:06:55.285110,"[32, -3, 54]"
2024-10-09 13:06:55.316360,"[32, -3, 54]"
2024-10-09 13:06:55.347610,"[33, -3, 54]"
2024-10-09 13:06:55.378860,"[32, -3, 54]"
2024-10-09 13:06:55.410110,"[32, -3, 54]"
2024-10-09 13:06:55.441370,"[33, -3, 54]"
2024-10-09 13:06:55.472620,"[32, -3, 53]"
2024-10-09 13:06:55.503870,"[32, -3, 54]"
2024-10-09 13:06:55.535120,"[33, -3, 54]"
2024-10-09 13:06:55.566370,"[32, -3, 54]"
2024-10-09 13:06:55.597620,"[32, -3, 54]"
2024-10-09 13:06:55.628870,"[32, -3, 54]"
2024-10-09 13:06:55.660130,"[32, -3, 54]"
2024-10-09 13:06:55.691380,"[32, -3, 54]"
2024-10-09 13:06:55.722630,"[32, -3, 54]"
2024-10-09 13:06:55.753880,"[32, -3, 54]"
2024-10-09 13:06:55.785130,"[33, -3, 54]"
2024-10-09 13:06:55.816380,"[32, -3, 54]"
2024-10-09 13:06:55.847630,"[32, -3, 54]"
2024-10-09 13:06:55.878890,"[33, -3, 54]"
2024-10-09 13:06:55.910140,"[32, -3, 54]"
2024-10-09 13:06:55.941390,"[32, -3, 54]"
2024-10-09 13:06:55.972640,"[32, -3, 54]"
2024-10-09 13:06:56.003890,"[32, -3, 54]"
2024-10-09 13:06:56.035140,"[33, -3, 54]"
2024-10-09 13:06:56.066390,"[33, -3, 54]"
2024-10-09 13:06:56.097650,"[32, -3, 54]"
2024-10-09 13:06:56.128900,"[32, -3, 54]"
2024-10-09 13:06:56.160150,"[32, -3, 54]"
2024-10-09 13:06:56.191400,"[32, -3, 54]"
2024-10-09 13:06:56.222650,"[32, -3, 54]"
2024-10-09 13:06:56.253900,"[33, -3, 54]"
2024-10-09 13:06:56.285150,"[32, -3, 53]"
2024-10-09 13:06:56.316410,"[32, -3, 54]"
2024-10-09 13:06:56.347660,"[33, -3, 54]"
2024-10-09 13:06:56.378910,"[32, -3, 54]"
2024-10-09 13:06:56.410160,"[32, -3, 54]"
2024-10-09 13:06:56.441410,"[32, -3, 54]"
2024-10-09 13:06:56.472660,"[32, -3, 53]"
2024-10-09 13:06:56.503910,"[32, -3, 54]"
2024-10-09 13:06:56.535170,"[32, -3, 54]"
2024-10-09 13:06:56.566420,"[32, -3, 54]"
2024-10-09 13:06:56.597670,"[32, -3, 54]"
2024-10-09 13:06:56.628920,"[33, -3, 54]"
2024-10-09 13:06:56.660170,"[33, -3, 54]"
2024-10-09 13:06:56.691420,"[32, -3, 54]"
2024-10-09 13:06:56.722670,"[32, -3, 54]"
2024-10-09 13:06:56.753930,"[33, -3, 54]"
2024-10-09 13:06:56.785180,"[32, -3, 54]"
2024-10-09 13:06:56.816430,"[33, -3, 54]"
2024-10-09 13:06:56.847680,"[32, -3, 54]"
2024-10-09 13:06:56.878930,"[33, -3, 54]"
2024-10-09 13:06:56.910180,"[32, -3, 53]"
2024-10-09 13:06:56.941430,"[32, -3, 54]"
2024-10-09 13:06:56.972690,"[32, -3, 54]"
2024-10-09 13:06:57.003940,"[32, -3, 54]"
2024-10-09 13:06:57.035190,"[33, -3, 54]"
2024-10-09 13:06:57.066440,"[33, -3, 54]"
2024-10-09 13:06:57.097690,"[32, -3, 54]"
2024-10-09 13:06:57.128940,"[32, -3, 54]"
2024-10-09 13:06:57.160190,"[32, -3, 54]"
2024-10-09 13:06:57.191450,"[33, -3, 53]"
2024-10-09 13:06:57.222700,"[32, -3, 54]"
2024-10-09 13:06:57.253950,"[33, -3, 54]"
2024-10-09 13:06:57.285200,"[32, -3, 54]"
2024-10-09 13:06:57.316450,"[32, -3, 54]"
2024-10-09 13:06:57.347700,"[33, -3, 53]"
2024-10-09 13:06:57.378950,"[33, -3, 54]"
2024-10-09 13:06:57.410210,"[33, -3, 54]"
2024-10-09 13:06:57.441460,"[33, -3, 53]"
2024-10-09 13:06:57.472710,"[32, -3, 53]"
2024-10-09 13:06:57.503960,"[33, -3, 53]"
2024-10-09 13:06:57.535210,"[32, -3, 54]"
2024-10-09 13:06:57.566460,"[33, -3, 54]"
2024-10-09 13:06:57.597710,"[32, -3, 54]"
2024-10-09 13:06:57.628970,"[33, -3, 54]"
2024-10-09 13:06:57.660220,"[32, -3, 54]"
2024-10-09 13:06:57.691470,"[33, -3, 54]"
2024-10-09 13:06:57.722720,"[32, -3, 54]"
2024-10-09 13:06:57.753970,"[33, -3, 54]"
2024-10-09 13:06:57.785220,"[33, -3, 53]"
2024-10-09 13:06:57.816470,"[32, -4, 53]"
2024-10-09 13:06:57.847730,"[33, -3, 54]"
2024-10-09 13:06:57.878980,"[32, -3, 53]"
2024-10-09 13:06:57.910230,"[32, -3, 54]"
2024-10-09 13:06:57.941480,"[33, -3, 54]"
2024-10-09 13:06:57.972730,"[32, -3, 54]"
2024-10-09 13:06:58.003980,"[32, -3, 54]"
2024-10-09 13:06:58.035230,"[33, -3, 54]"
2024-10-09 13:06:58.066490,"[33, -3, 53]"
2024-10-09 13:06:58.097740,"[32, -4, 53]"
2024-10-09 13:06:58.128990,"[32, -3, 53]"
2024-10-09 13:06:58.160240,"[33, -3, 54]"
2024-10-09 13:06:58.191490,"[33, -3, 53]"
2024-10-09 13:06:58.222740,"[32, -3, 53]"
2024-10-09 13:06:58.254000,"[32, -3, 54]"
2024-10-09 13:06:58.285250,"[33, -3, 54]"
2024-10-09 13:06:58.316500,"[32, -3, 54]"
2024-10-09 13:06:58.347750,"[32, -3, 54]"
2024-10-09 13:06:58.379000,"[32, -3, 54]"
2024-10-09 13:06:58.410250,"[33, -3, 54]"
